"EntityType"	"totalSameAs"
"http://dbpedia.org/class/yago/WikicatTheFootballLeaguePlayers"	93352
"http://dbpedia.org/class/yago/Vicinity108641113"	93061
"http://dbpedia.org/class/yago/Section108648322"	93061
"http://dbpedia.org/class/yago/Collection107951464"	92698
"http://dbpedia.org/class/yago/Philosopher110423589"	92430
"http://www.wikidata.org/entity/Q7377"	92303
"http://dbpedia.org/class/yago/Biologist109855630"	91979
"http://dbpedia.org/ontology/Disease"	91916
"http://dbpedia.org/class/yago/Park108615149"	91884
"http://dbpedia.org/class/yago/Depository103177349"	91534
"http://dbpedia.org/class/yago/Document106470073"	91529
"http://dbpedia.org/class/yago/FictionalCharacter109587565"	91411
"http://dbpedia.org/class/yago/Award106696483"	91378
"http://dbpedia.org/class/yago/Center108523483"	91345
"http://dbpedia.org/ontology/RadioStation"	91087
"http://dbpedia.org/class/yago/WikicatAssociationFootballForwards"	90842
"http://dbpedia.org/ontology/Cricketer"	90803
"http://dbpedia.org/class/yago/WikicatAssociationFootballDefenders"	90729
"http://dbpedia.org/ontology/CelestialBody"	90132
"http://dbpedia.org/class/yago/CelestialBody109239740"	89853
"http://dbpedia.org/class/yago/Press106263369"	89026
"http://dbpedia.org/class/yago/PrintMedia106263609"	89026
"http://dbpedia.org/ontology/PeriodicalLiterature"	89010
"http://dbpedia.org/class/yago/Museum103800563"	88589
"http://dbpedia.org/class/yago/Maker110284064"	87930
"http://dbpedia.org/class/yago/Point108620061"	87852
"http://dbpedia.org/class/yago/Novel106367879"	87363
"http://dbpedia.org/class/yago/Senator110578471"	86623
"http://umbel.org/umbel/rc/BiologicalLivingObject"	86602
"http://dbpedia.org/class/yago/Authority109824609"	86203
"http://dbpedia.org/class/yago/GoodPerson110138767"	85893
"http://www.wikidata.org/entity/Q1092563"	85744
"http://umbel.org/umbel/rc/EukaryoticCell"	85685
"http://www.wikidata.org/entity/Q176799"	85671
"http://dbpedia.org/class/yago/WikicatAmericanMaleFilmActors"	85579
"http://dbpedia.org/class/yago/Craft103125870"	85176
"http://dbpedia.org/class/yago/RadioStation104044119"	85066
"http://dbpedia.org/class/yago/Guitarist110151760"	84256
"http://dbpedia.org/class/yago/Word106286395"	83943
